unique_id,power_plant_name,country,country_iso3c,bri_country,region,subregion,province,city,installed_capacity,commissioning_year,primary_fuel,latitude,longitude,duplicate_power_plant,investment_type,investment_cofinanced_bu,debt_investment_averaged,debt_investment_weighted,equity_investment_weighted,total_investment_amount,equity_investor_name_1,equity_investor_amount_1,equity_investor_name_2,equity_investor_amount_2,equity_investment_type,equity_investment_year,parent_company_of_investor,SOE_or_POE,debt_investment_year,debt_investment_amount,number_of_lenders,bank_of_china,china_development_bank,export_import_bank_of_china,industrial_and_commercial_bank_of_china,china_construction_bank,bank_of_communications,agricultural_bank_of_china,china_citic_bank_corp,china_merchants_bank,china_minsheng_banking_corp,china_zheshang_bank,china_everbright_bank,silk_road_fund,china_co-financing_fund_for_latin_america_and_the_caribbean,compid,unit_id,location_id.x,gppd_id,fdi_id,rma_id,bu_id,sais_id,iad_id,r_id,ij_id,cgp_id,RE/Fossil
BGD2023015,MANIKGANJ SOLAR,Bangladesh,BGD,Y,Asia,Southern Asia,Dhaka,Shibalaya Upazila - Manikganj Dist,35,2021,solar pv,,,N,Equity,,,,,,Shunfeng International Clean Energy Ltd,,,,Greenfield,,Faithsmart Ltd,POE,,,,,,,,,,,,,,,,,,1053193,1284155,1117878,,,,,,,,,BD.F.008,RE
BGD2023016,PAYRA WIND,Bangladesh,BGD,Y,Asia,Southern Asia,Barisal,Kalapara Upazila - Patuakhali Dist,50,2022,onshore wind,,,N,Equity,,,,,,China Machinery Engineering Corp,,,,Greenfield,,China National Machinery Industry Corp,SOE,,,,,,,,,,,,,,,,,,1061156,1288774,1121110,,,,,,,,,BD.F.009,RE
BGD2023017,RPCL GAZIPUR,Bangladesh,BGD,Y,Asia,Southern Asia,Dhaka,Kodda - Gazipur Dist,100,2019,oil ,,,N,Equity,,,,,,Power Construction Corporation of China,,,,Greenfield,,Power Construction Corporation of China,SOE,,,,,,,,,,,,,,,,,,1030522,1290294,1089785,,,,,,,,,BD.F.006,Fossil
BGD2023018,SIRAJGANJ SOLAR,Bangladesh,BGD,Y,Asia,Southern Asia,Rajshahi,Soydabad - Sirajganj Dist,100,2022,solar pv,,,N,Equity,,,,,,China Machinery Engineering Corp,,,,Greenfield,,China National Machinery Industry Corp,SOE,,,,,,,,,,,,,,,,,,1061156,1274498,1111470,,,,,,,,,BD.F.010,RE
BGR2021001,CHERGANOVO,Bulgaria,BGR,Y,Europe,Eastern Europe,Stara-Zagora,Cherganovo,29.3,2012,solar pv,,,N,Equity,,,,,,Hareon Solar Co Ltd,,,,Greenfield,,Hareon Solar Co Ltd,POE,,,,,,,,,,,,,,,,,,1045320,1253566,1098294,,,,,,,,,BG.F.003,RE
BGR2021002,KARLOVO SOLAR,Bulgaria,BGR,Y,Europe,Eastern Europe,Plovdiv,Karlovo,3.5,2011,solar pv,,,N,Equity,,,,,,Hareon Solar Co Ltd,,,,Greenfield,,Hareon Solar Co Ltd,POE,,,,,,,,,,,,,,,,,,1045063,1252458,1097565,,,,,,,,,BG.001,RE
BGR2021003,KOLAROVO,Bulgaria,BGR,Y,Europe,Eastern Europe,Blagoevgrad,Kolarovo,5.9,2012,solar pv,,,N,Both,,N,Y,,16.10330033,Hareon Solar Co Ltd,,,,Greenfield,,Hareon Solar Co Ltd,POE,2011,16.10330033,,,16.10330033,,,,,,,,,,,,,1040217,1241293,1090625,,,,,,,,,BG.F.002,RE
BGR2021004,POBEDA,Bulgaria,BGR,Y,Europe,Eastern Europe,Burgas,Pobeda,50.7,2012,solar pv,,,N,Equity,,,,,,Hareon Solar Co Ltd,,,,Greenfield,,Hareon Solar Co Ltd,POE,,,,,,,,,,,,,,,,,,1045320,1253567,1098295,,,,,,,,,BG.F.004,RE
BGR2021005,YAMBOL INNIMMO,Bulgaria,BGR,Y,Europe,Eastern Europe,Yambol,Yambol,14.5,2012,solar pv,,,N,Equity,,,,,,Astronergy,,,,Greenfield,2012,Chint Group Corp,POE,,,,,,,,,,,,,,,,,,1244195,1244195,1092387,,230802,,,,,,,,RE
BGR2021006,,Bulgaria,BGR,Y,Europe,Eastern Europe,Khaskovo,Cherganovo,25,,solar pv,,,N,Equity,,,,,,Bci Cherganovo Eood,,,,Greenfield,2012,Hareon Solar Ltd,POE,,,,,,,,,,,,,,,,,,,,,,237171,,,,,,,,RE
BIH2021001,STANARI,Bosnia & Herzegovina,BIH,Y,Europe,Southern Europe,Srpska,Stanari,300,2016,coal,,,N,Debt,N,N,N,,431.62,,,,,,,,,2012,431.62,1,,431.62,,,,,,,,,,,,,1034189,1196077,1065075,,,,,,,154085654473,16790,,Fossil
BIH2021002,TUZLA,Bosnia & Herzegovina,BIH,Y,Europe,Southern Europe,Tuzlanski,Tuzla City,450,,coal,,,N,Debt,N,N,N,,881.88,,,,,,,,,2017,881.88,,,,881.88,,,,,,,,,,,,1011476,1193547,1020241,,,,220,,,,,,Fossil
BIH2021003,,Bosnia & Herzegovina,BIH,Y,Europe,Southern Europe,Bosnia and Herzegovina,Livno,450,,solar pv,,,N,Equity,,,,,,Hareon Solar Co Ltd,,,,Greenfield,2014,Hareon Solar Co Ltd,POE,,,,,,,,,,,,,,,,,,,,,,299198,,,,,,,,RE
BIH2023004,DABAR,Bosnia & Herzegovina,BIH,Y,Europe,Southern Europe,Srpska,Berkovici,160.5,2024,hydro,,,N,Debt,N,N,N,,202.73,,,,,,,,,2022,202.73,1,,,202.73,,,,,,,,,,,,1017955,1251977;1251977;1233798,1086449,,,,,,,154087436126,67257,,RE
BIH2023005,IVOVIK,Bosnia & Herzegovina,BIH,Y,Europe,Southern Europe,Hercegovina-Neretva,Livno - Tomislavgrad,84,2024,onshore wind,,,N,Equity,,,,,67.93,Power Construction Corporation of China,67.93,,,Greenfield,2022,Power Construction Corporation of China,SOE,,,,,,,,,,,,,,,,,,1061161,1312489,1138306,,,,,,,,61651,BA.F.001,RE
BLR2021001,MINSK-5,Belarus,BLR,Y,Europe,Eastern Europe,Minsk,Puhovychy - Minsk,400,2012,gas,,,N,Debt,N,N,N,,382,,,,,,,,,2008,382,,,382,,,,,,,,,,,,,1038672,1216291; 1216292,1047030,,,,31,,,,,BY.001,Fossil
BLR2021002,VITEBSK DVINA,Belarus,BLR,Y,Europe,Eastern Europe,Vitebsk,Vitebesk,40,2017,hydro,,,N,Debt,N,N,N,,189,,,,,,,,,2011,189,,,189,,,,,,,,,,,,,1034195,1262635; 1262636; 1262637; 1262638,1104058,,,,77,,,,,BY.004.1; BY.004.2; BY.004.3; BY.004.4,RE
BLR2023003,BEREZOVSKAYA BREST,Belarus,BLR,Y,Europe,Eastern Europe,Brest,Belaazyorsk,483,2014,gas,,,N,Debt,,N,N,,321.3,,,,,,,,,2010,321.3,,,,321.3,,,,,,,,,,,,1030484,1224036; 1224037; 1275004; 1275005,1010892,,,,62,,,,,BY.003.1; BY.003.2; BY.003.3; BY.003.4,Fossil
BLR2023004,LUKOML,Belarus,BLR,Y,Europe,Eastern Europe,Vitebsk,211162 Novolukoml,285,2014,gas,,,N,Debt,,N,N,,312.8,,,,,,,,,2010,312.8,,,,312.8,,,,,,,,,,,,1034195,1225733,1010899,,,,368,,,,,BY.002,Fossil
BOL2021001,ROSITAS,Bolivia,BOL,Y,Americas,Latin America and the Caribbean,Santa Cruz,Cabezas - Cordillera Prov,500,2025,hydro,,,N,Debt,N,N,N,,1000,,,,,,,,,2016,1000,,,,1000,,,,,,,,,,,,1002290,1240852;1269988;1269989;1269990,1090332,,,,198,,,,,BO.001.1; BO.001.2; BO.001.3; BO.001.4,RE
BWA2021001,MORUPULE-B,Botswana,BWA,Y,Africa,Sub-Saharan Africa,Central,Palapye,600,2014,coal,,,N,Debt,,N,N,,825,,,,,,,,,2009,825,,,,,825,,,,,,,,,,,1000810,1133900;1133901;1202954;1202955,1069240,,,,,BW.009,,,15250,,Fossil
